Paper ID,Title,Session,Division/Unit,Sumission Type,Research Areas,Title to Check,Session to Check,Abstract
2013-1701,Sweden: Are Direct Press Subsidies the Preferred Solution?,Policy Failure in Confronting the Journalism Crisis: Evidence From the US and Europe,Communication Law & Policy,Session Paper,,Sweden: Are Direct Press Subsidies the Preferred Solution?,Policy Failure in Confronting the Journalism Crisis: Evidence From the US and Europe,"Direct press subsidies to second-ranking newspapers in the market are undoubtedly one of the most distinctive features of Swedish media policy. They have been used since 1971, when a political majority from the Social Democratic Party and the Centre Party reached on agreement in the Parliament. The system has always been highly controversial; perceived either as an attack on the free press or as a guarantee for pluralism in the market. In recent years, digital media developments and EU media policy have put the press subsidy system and its basic principles under new pressures. The efficiency of the system is also disputed. The subsidies have saved newspapers with economic problems and the decrease in newspaper titles in Sweden is not as articulated as in many other countries. On the other hand, the system has not affected media ownership concentration and most subsidized newspapers are today owned by commercially successful companies."
2013-1751,"The 3-Ds of Globalized Bollywood: Digitalization, D-Cinema, and the Demassification of South Asian Cinematic Public Spheres",Bollywood in the Digital Era: Shifting Global Practices and Perspectives,Global Communication and Social Change,Session Paper,,"The 3-Ds of Globalized Bollywood: Digitalization, D-Cinema, and the Demassification of South Asian Cinematic Public Spheres",Bollywood in the Digital Era: Shifting Global Practices and Perspectives,"Given rapid developments in technology, digital cinema – or D-cinema – is now supplanting celluloid-based technological and social infrastructures throughout the world (Radjadhyaksha, 2009; Rai, 2009). In the post-liberalized Indian film industry, which gained official economic recognition in 1998, proponents assert that digital technologies are revolutionizing the popular Hindi film industry, particularly through the expansion of online streaming services, mass retailing of DVD and blu-ray discs, and construction of multiplex cinemas that feature high-definition digital and 3-D stereoscopic viewing options, as has been the case elsewhere in Asia (Curtin, 2009; Ganti, 2012; Rai, 2009; Stephanie, Sharma, & Ramasubbu, 2012). However, critics assert that such technologies also threaten to demassify consumption practices in South Asia, disrupting democratic viewing traditions within these cinematic public spheres (Ganti, 2012). In this presentation, I explore the technological and social issues relative to the rapid transition from celluloid to digital exhibition in South Asia, and then position these issues within broader theoretical debates over globalization and cultural hybridity."
2013-1801,The Digital Globe and Climactic Coming Attractions: From Theatrical Release to Theatre of War,Earth Observing Media,"Philosophy, Theory and Critique",Session Paper,,The Digital Globe and Climactic Coming Attractions: From Theatrical Release to Theatre of War,Earth Observing Media,"This paper considers the politics of representation inherent in the emergence of the digital globe. Starting with a consideration of early renaissance globes as separate and distinct cultural objects from the two dimensional forms of cartography they followed, this article goes on to consider the emergence of the digital globe. Like its analogue predecessors, the digital globe is an object symptomatic of the multiple cultural, political, philosophical, ecological and sociological factors that form its foundation. Crucially, beyond occidental perspectives that have structured many dominant cartographic accounts of the earth since the renaissance, this article argues that a multipolar environment of online digital globes are emerging to contest western structures of vision that were intertwined with notions of technoscopic superiority of the twentieth century. Instead what is now emerging is a multiplicity of digital globes that function as theatrical platforms for different and diverse agencies. Here the digital globe is analysed in relation to some of their theatrical functions: as a site of spectacular cinematic attractions, as theatre for the dramatic staging of news media events, as a simulated military theatre of operations, as a lecture theatre where the science of geo-engineering is dramatized and as an operation theatre where the planets rapidly declining health is played out."
2013-1851,"The ""Feminization"" of the Media in Postcommunist Eastern Europe",Women Journalists in Turbulent Times: The Gendered Impact of Historical Shifts on Newsrooms,Feminist Scholarship,Session Paper,,"The ""Feminization"" of the Media in Postcommunist Eastern Europe",Women Journalists in Turbulent Times: The Gendered Impact of Historical Shifts on Newsrooms,"Findings in the 2011 Global Report on the Status of Women found women to surpass men in both number and status in a majority of news companies surveyed in the region of Eastern Europe, leading to the perception of news as a feminized field. Women’s presence in media companies in Poland, Hungary, Romania, and Bulgaria, particularly, grew faster than men’s. This presentation problematizes the finding of women’s dominance within the historical framework of communism and in light of events in today’s post-communist era. Factors examined include labor issues under communism, women’s skills levels and adaptability to change, and the shift to a commercialized media system that brought with it an entertainment-orientation in media content and a sensationalism of news. The presentation will also explore why women’s dominance in media fields has done little to erase the underlying patriarchal nature of Eastern European societies."
2013-1901,"The Israeli Term for Talk ""Tokbek"" (Talk-Back - Online Commenting) and its Relevance to the Online Public Sphere",Technologically-Mediated Interactions: Problems and Promises for Civic Engagement and Interpersonal Interactions,Language & Social Interaction,Extended Abstract,,"The Israeli Term for Talk ""Tokbek"" (Talk-Back - Online Commenting) and its Relevance to the Online Public Sphere",Technologically-Mediated Interactions: Problems and Promises for Civic Engagement and Interpersonal Interactions,"Israeli journalistic websites introduced a feature that later became popular elsewhere - the ""comments"" section where readers can inscribe their responses to the report. This form of commenting received its own term for talk tokbek, derived from the English term “talk-back.” From cultural members' perspective, while the tokbek had unlimited technological potential to promote new modes of civil engagement, it failed in achieving this goal and evolved to an anti-discourse that frequently undermines attempts on constructive dialogue. Grounded in the ethnography of communication, we provide a cultural interpretative framework for the analysis of this discursive failure. The main communicative action of the tokbek is to construct the commenters’ political selves, mainly based on “the Leftist” and “the Rightist” stereotypes. The tokbek discourse thus facilitates a bashing ritual that communicates a radical pessimism about the very possibility of its own communicability. So doing, the tokbek ritual joins similar Israeli cultural performances that substitute democratic deliberation with a pseudo-political venting arena. While not implying that the internet is incapable of promoting a democratic public sphere, we contend that cultural contexts as established through interactions cannot be overlooked when discussing technological advancements and their relevancy to political participation."
2013-1951,The Political Mapping of Korean Twitter Users,Politics Online: International Perspectives,Political Communication,Paper,"Quantitative - Network Analysis, Deliberation & Political Conversation",The Political Mapping of Korean Twitter Users,Politics Online: International Perspectives,"This study employs network analysis, while focusing on the discussion of South Korean president, Lee Myung-Bak, to better understand public opinion dynamics occurring on Twitter. More specifically, the study seeks to identify opinion leaders on the discussion network by looking over a longitudinal distribution of tweets that include the president’s name. In so doing, this study analyzed three types of messages: “followed,” “mention,” and “retweet.” The data, collected between November 1, 2011 and April 20, 2012, includes 53,165 twitter users and 1,144,306 lines consisting of three types of relationship. By looking over the density of subgroups classified by their political view, the study also examines whether Twitter users, in their discussion of the president, are likely to be exposed to cross-cutting political views. The findings show that the discussion of Lee Myung-Bak is dominated by liberal Twitter users who already have great influence on the public even offline. Furthermore, Twitter users appear unlikely to interact with those who have opposing political views."
2013-2001,The Role of Conversation in Developing Accurate Political Perceptions: A Multilevel Social Network Approach,Perceptions and Misperceptions: Causes and Consequences,Political Communication,Paper,"Deliberation & Political Conversation, Quantitative - Network Analysis, Political Knowledge & Sophistication",The Role of Conversation in Developing Accurate Political Perceptions: A Multilevel Social Network Approach,Perceptions and Misperceptions: Causes and Consequences,"We employ social network data from 25 randomly sampled voluntary associations to understand the factors associated with accurate perceptions of the candidate preferences of fellow group members. We build upon research in communication, political science, social psychology, and social networks to identify relevant predictors. We analyze relationships at the dyadic level, but we also consider the aggregated accuracy of perceptions by ego of alters (“perceptiveness”) and the aggregated accuracy of perception by alters of ego (“explicitness”) regarding political candidate preferences using a multilevel modeling approach. We find relatively low levels of accuracy on average, and differential patterns of prediction of perceptiveness and explicitness. However, there is a consistent and strong link between the frequency of communication (viewed as an indicator of network tie strength) and accuracy both at the dyadic and aggregate levels. However, this relationship is moderated by the homophily of political preferences within the group."
2013-2051,The Ubiquity and Influence of CMC Cues in Social Networking Sites,Nonverbal Cues Exchanges in Online Communications,Communication and Technology,Paper,"Computer-Mediated Communication, Social Media, Social Networking Service",The Ubiquity and Influence of CMC Cues in Social Networking Sites,Nonverbal Cues Exchanges in Online Communications,"A significant portion of the online activities by customers and other organizational stakeholders use text-based computer-mediated communication (CMC). Facebook status updates, Tweets, blog posts and e-mails are used for communicating organizational messages, engaging customers, and spreading electronic word of mouth. It has been suggested that CMC cues are those components of text-based CMC which fulfill a comparable role to that carried out by nonverbal cues in spoken communication. We make use of linguistic and quantitative analyses of several thousand Facebook and Twitter messages to empirically demonstrate the ubiquity and influence of these cues in online messages posted to social networking sites (SNSs). We establish that CMC cues have an influence comparable to that of nonverbal cues in spoken communication by showing that (1) the presence of specific CMC cues is associated with changes in SNS audience engagement and attitude, and (2) there is an inverse relationship between message length and CMC cue density. The paper discusses the theoretical implications for CMC theories such as social information processing, media richness theory, and a series of theories which developed in response to the failure of media richness theory to predict the meteoric success of text-based CMC in organizational and interpersonal communication."
2013-2101,Top Student Paper: The Unobserved Observer: Humphrey Spender's Hidden Camera and the Politics of Visibility in Interwar Britain,Cultural Framing and Communication Practices,Communication History,Paper,,Top Student Paper: The Unobserved Observer: Humphrey Spender's Hidden Camera and the Politics of Visibility in Interwar Britain,Cultural Framing and Communication Practices,"This paper, part of a study of the rise of hidden-camera photography between 1880 and 1945, examines the use of hidden cameras in Britain between the World Wars. Focusing on a central but little-studied figure, the documentary photographer Humphrey Spender, I analyze the politics of representing people--and of being represented--through documentary photography in the media environment of 1930s Britain. Based on archival research as well as formal analysis, this study links Spender’s photography with broader developments in the history of media in the period, including the grassroots sociological research group Mass Observation, the cinematic experimentation of the Continental avant-garde, the British documentary movement, and the rise of photographically illustrated magazines like Picture Post. In so doing, it illuminates a crucial development in the history of photography: a historical moment when the camera was seen to have the capacity to reveal the truth only when it was itself concealed."
2013-2151,"Twitards and Tyler’s Van: Antifans, Twilight, and Textuality","Antifandom, Hate, Annoyance, and Dislike in Media Reception",Popular Communication,Session Paper,,"Twitards and Tyler’s Van: Antifans, Twilight, and Textuality","Antifandom, Hate, Annoyance, and Dislike in Media Reception","In “New Audiences, New Textualities” (2003), Gray suggests that scholars should examine what anti-fans dislike about texts, and how they come to that dislike (particularly since their hatred may develop through paratexts instead of texts themselves). Studying anti-fans, then, enables us to bring our focus to an exploration of the expectations and values we have of media texts. Such an exploration is useful for understanding the divergent responses from fans and anti-fans to the Twilight series. Through a sample of 472 anti-Twilighters, collected alongside a larger sample of Twilight fans, we explore anti-fans’ evaluations of the Twilight series (making sense of why their “favorite character” is a van that almost killed the series’ protagonist) and its fans (whom anti-fans call “Twitards”). By comparing the characteristics of anti-Twilighters to Twilight fans, we discuss why the two groups are so polarized, and how anti-Twilighters can extend our knowledge of anti-fans more generally.

Melissa A. Click is assistant professor of communication at the University of Missouri. She is the co-editor of Bitten by Twilight (Peter Lang, 2010). Her work has been published in NYU Press’s Fandom and in Popular Communication, Popular Music & Society, and Women’s Studies in Communication.

Holly Willson Holladay is a doctoral student in communication at the University of Missouri. Her research interests include audience and fan studies, gender, class, and television."
2013-2201,Validating Measures of Health-Related Conversation Content in the Context of Sleep Behavior Among College Students,Communication Influences on Health Behavior and Behavioral Change,Health Communication,Paper,,Validating Measures of Health-Related Conversation Content in the Context of Sleep Behavior Among College Students,Communication Influences on Health Behavior and Behavioral Change,"This research examined the validity of new measures of conversation partners and content to predict beliefs about sleep. A convenience sample of undergraduate students (n=375) completed a written questionnaire that asked about the frequency of sleep-related conversation, number of conversation partners, content of sleep-related conversation, and beliefs about sleep behaviors (based on the Integrative Model of Behavior Prediction). Conversations about health-damaging sleep behaviors were associated with the beliefs that sleeping 8-9 hours of sleep per night (a) will produce unfavorable social and academic outcomes and (b) are largely out of one’s behavioral control. Measures of conversation content explained more variance than simple measures of frequency and predicted lower intentions to perform the behavior. Content-specific conversation measures appear to be valid and should be considered in future health communication research."
2013-2251,What Are the Values and Impacts of Public Relations on Business News?: A Survey of Business Journalists on the Use of Information Subsidies and the Determinants of That Use,Public Relations and News,Public Relations,Paper,"Public Relations, Media Relations",What Are the Values and Impacts of Public Relations on Business News?: A Survey of Business Journalists on the Use of Information Subsidies and the Determinants of That Use,Public Relations and News,"The purpose of this study is to explore the use of information sources business journalists rely on and, thus, the value of public relations in the process. Specifically, this study examines (1) the degree to which journalists use public relations materials, and (2) what factors influence the use of public relations materials.

A Web survey was conducted in December 2009 for U.S. business journalists (N = 120).

The results showed that public relations materials were most frequently used as a story’s background information and/or as a minor part of a story that came from another source or from several sources. Among the fourteen factors, journalistic experience, time pressure, ongoing relationships via e-mail and social media, and the perceived value of public relations materials had significant impacts on the degree of use of public relations materials."
2013-2301,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,Instructional & Developmental Communication,Paper,,Who is the Doctor in This House?: Analyzing the Moral Evaluations of Doctors and Medical Students of House M.D.,Paging Dr. Communication: The Intersection of Instructional Communication and Health Communication,"Research has shown that medical students like to watch medical dramas, but there is some concern about how this might eventually affect their professional behavior. The aim of the current study is to provide insight into the moral evaluations of medical dramas by medical students and physicians in order to formulate if and how medical dramas might be used as a tool in ethics education, thereby bringing clarity to the discussion over the proposed merit it could have in such a curriculum. A qualitative study was conducted that included in-depth interviews (N = 40) among a divers sample of medical students and physicians. The results show that the moral evaluations of a medical drama changed over time due to more (theoretical and practical) knowledge and experience and therefore a more nuanced view of the profession and professional ethics."
