Year,Session Type,Session Title,Division/Unit,Chair Name,Chair Affiliation
2015,Paper Session,Different Ways of Valuing Communication and Technology,Communication and Technology,Valerie Belair-Gagnon,Yale Law School
2015,Paper Session,Parasocial Relationships,Mass Communication,Jonathan Cohen,U of Haifa
2015,Paper Session,Sex Communication and Health,Health Communication,Jimmie Manning,Northern Illinois U
2015,Paper Session,Performative Research and Textual Analysis in Feminist Scholarship,Feminist Scholarship,Cara J. Wallis,Texas A and M U
2015,Paper Session,Intercultural Rhetoric,Intercultural Communication,Sudeshna Roy,Stephen F Austin State University
2015,Paper Session,Privacy Issues With Social Media #3,Communication and Technology,Andrew Schrock,U of Southern California - Annenberg School for Communication
2015,Paper Session,Covering Politics: Perspectives on Political News Around the World,Journalism Studies,Frank Esser,U of Zurich
2015,Paper Session,Political/Government Public Relations,Public Relations,Erich James Sommerfeldt,U of Maryland - College Park
2015,Paper Session,"Media, Latino/a Youth, and Immigration",Ethnicity and Race in Communication,Jessica Retis,California State U - Northridge
2015,Paper Session,Preferring and Responding to Video Game Violence,Game Studies,Jih-Hsuan Lin,National Chiao Tung U
2015,Paper Session,"Depression, Mental Illness, Mental Health Communication",Health Communication,Stanislav Orlov,Mount Saint Vincent University
2015,Paper Session,Negative Socioemotional Performances in Social Media,Communication and Technology,Yeuseung Kim,DePaul University
2015,Paper Session,Social Influence on Media Use and Effects (TOP PAPER ENTRY),Mass Communication,Mary Beth Oliver,Pennsylvania State U
2015,Paper Session,Sport Communication Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Paper Session,The Study of Business and Economic News,Mass Communication,Heather LaMarre,Temple U
2015,Paper Session,"Online Comments and the News: Interactivity, Perception, and Political Function",Journalism Studies,Thorsten Quandt,U of Muenster
2015,Paper Session,Mobile Motivations,Communication and Technology,Veronika Karnowski,Ludwig Maximilians U Munich
2015,Paper Session,"Diet, Exercise, Weight, and Health",Health Communication,Nick Carcioppolo,University of Miami
2015,Paper Session,Gender Discourses in Professional Practices,Feminist Scholarship,Carolyn M. Byerly,Howard U
2015,Paper Session,Top Papers in Intercultural Communication,Intercultural Communication,Stephen Michael Croucher,U of Jyvaskyla
2015,Paper Session,"B.E.S.T.: The Dark Side of Organizations--Paranoia/Paradox, Risk/Disaster, Invisibility, Unemployment, Ostracizing and Beyond...",Organizational Communication,Craig R. Scott,Rutgers U
2015,Paper Session,Privacy Issues With Social Media #2,Communication and Technology,Jennifer L. Gregg,Univ. of Massachusetts
2015,Paper Session,Diversity in the News,Journalism Studies,Sven Engesser,U of Zurich
2015,Paper Session,"Leadership, Employee Communication, and PR profession",Public Relations,Michael Andreas Etter,Copenhagen Business School
2015,Paper Session,"Marginality, Vulnerability, and Protest in Journalism and Media Practices","Philosophy, Theory and Critique",Maria Mirca Madianou,Goldsmiths College
2015,Paper Session,Using Affordances of Mobile Communication to Build Relationships and to Negotiate Social Actions,Language & Social Interaction,David Boromisza-Habashi,U of Colorado - Boulder
2015,Paper Session,Advances in the Study of Risk and Crisis Communication,Mass Communication,Shawnika Jeanine Hull,U of Wisconsin-Madison
2015,Paper Session,Ethnicity and Race Concerns Across Europe,Ethnicity and Race in Communication,Miyase Christensen,Stockholm University; Royal Institute of Technology(KTH)
2015,Paper Session,GIFTS & RIFTS Extended Session: Great and (New this Year) Reprehensible Ideas for Teaching Students,Instructional & Developmental Communication,Aaron R. Boyson,U of Minnesota - Duluth
2015,Paper Session,Visual Communication in Crisis and Trauma,Visual Communication Studies,Jana Holsanova,Lund U
2015,Paper Session,Aging and Health Communication,Health Communication,Hui Zhang,Colorado State U
2015,Paper Session,Individual and Group Behaviors in Virtual Space,Communication and Technology,Frank Biocca,Syracuse U
2015,Paper Session,Adolescent and Youth Social Media Behaviors,Communication and Technology,danah michele boyd,Microsoft Research
2015,Paper Session,Recent Discoveries on the Relationship Between Media Use and ADHD,Children Adolescents and the Media,Fashina Alade,Northwestern University
2015,Paper Session,"Global Perspectives on Immigrants, Identity, and CSR",Organizational Communication,Zhuo Ban,University of Cincinnati
2015,Paper Session,Local and Regional Journalism,Journalism Studies,Herman Wasserman,U of Cape Town
2015,Paper Session,Top Four Papers in Organizational Communication,Organizational Communication,Craig R. Scott,Rutgers U
2015,Paper Session,Family in/as Fieldwork: Challenges and Possibilities of Researching (With) One's Own Family,Feminist Scholarship,Liliana Herakova,Western New England U
2015,Paper Session,Only Change is Constant: Negotiating Critical Moments in Interpersonal Relationships,Interpersonal Communication,Carly M. Danielson,University of Minnesota-Twin Cities
2015,Paper Session,Best of Information Systems,Information Systems,Prabu David,Michigan State University
2015,Paper Session,Twitter and Social Media as Journalistic Tools,Journalism Studies,Seth C. Lewis,U of Minnesota
2015,Paper Session,"Scrutinizing the Shoulders of Giants: Lippmann, Dewey, Lasswell, Carey, Schiller",Communication History,Dominique Trudel,New York University
2015,Paper Session,Ethnicity and Race With Regard to Identity,Ethnicity and Race in Communication,Meta Gail Carstarphen,U of Oklahoma
2015,Paper Session,Learning From (and With) Video Games I,Game Studies,Aubrie Serena Adams,University of California
2015,Paper Session,"Youth Engagement With Media: Sharing, Synthesis, and Social Capital",Children Adolescents and the Media,Vera Slavtcheva-Petkova,U of Chester
2015,Paper Session,Policy Approaches to Access and Use of Information,Communication Law & Policy,Sharon Strover,U of Texas - Austin
2015,Paper Session,Top 4 Student Papers in Communication and Technology,Communication and Technology,Nicole Ellison,School of Information
2015,Paper Session,Political Tweeting Processes: From Elections to Civil War,Communication and Technology,Karolina Koc-Michalska,SciencesCom - Audencia Group
2015,Paper Session,"New Global Mediated of Publics, Citizenship(s), and Cosmopolitanism","Philosophy, Theory and Critique",Meenakshi Gigi Durham,U of Iowa
2015,Paper Session,"Youth, Media, Food Choice, and Obesity",Children Adolescents and the Media,Markus Appel,University of Koblenz-Landau
2015,Paper Session,News Audiences: New Findings,Journalism Studies,Laura Ahva,U of Tampere
2015,Paper Session,"Activism, Advocacy, and Civil Society",Public Relations,Aimei Yang,University of Southern California
2015,Paper Session,"Sex, Sexuality, and Sexialization: A Hot Topic In Interpersonal Relationships",Interpersonal Communication,Nicholas A. Palomares,U of California - Davis
2015,Paper Session,Public Understanding and Perceptions of Environmental Issues,Environmental Communication,Reimar Zeh,U of Erlangen - Nuremberg
2015,Paper Session,Learning From (and With) Video Games II,Game Studies,,
2015,Paper Session,Reputation and Image Management,Public Relations,Vilma L. Luoma-aho,University of Jyvaskyla
2015,Paper Session,Changing Audiovisual Media Markets and Regulation,Communication Law & Policy,Rita Zajacz,U of Iowa
2015,Paper Session,Mobile Compared to Immobile Communication,Communication and Technology,Colin Agur,Yale University
2015,Paper Session,"Social Interaction and Media: Television, Networked Radio, and the Web",Language & Social Interaction,Gonen Dori-Hacohen,University of Massachusetts
2015,Paper Session,Communication About Drugs and Medication,Health Communication,Kai Kuang,Purdue U
2015,Paper Session,Global/Regional Media Flows and Citizen Health and Identity,Global Communication and Social Change,William Lafi Youmans,The George Washington University
2015,Paper Session,Rhetorical Filters and Politics of the State,Popular Communication,Elizabeth Ellcessor,Indiana University
2015,Paper Session,Locative Mobile Issues,Communication and Technology,Lei Guo,Boston U
2015,Paper Session,Media and Message Effects: High Density Panel in Health Communication,Health Communication,Cabral A Bigman,University of Illinois
2015,Paper Session,Innovative International Media Research,Intercultural Communication,Hassan Abu Bakar,U of Utara - Malaysia
2015,Paper Session,Stakeholder Response to Crisis,Public Relations,Finn Frandsen,U of Aarhus
2015,Paper Session,"Race, Nationality, and the News",Journalism Studies,Avery E. Holton,U of Utah
2015,Paper Session,Health and Organizing: Diagnosing (Un)Healthy Workplaces,Organizational Communication,Kerk F. Kee,Chapman U
2015,Paper Session,Investigating Mediated Authority: Theories and Methods,"Philosophy, Theory and Critique",Amit Pinchevski,Hebrew U
2015,Paper Session,"The Media, the Body, and the Self",Children Adolescents and the Media,Sarah Rose Marcus,Rutgers
2015,Paper Session,Moral and Legal Dilemmas in Communication Law and Policy,Communication Law & Policy,Hilde Dy Van den Bulck,U of Antwerp
2015,Paper Session,Family Communication: Dynamics and Effects on (Adult) Children,Interpersonal Communication,Ningxin Wang,University of Illinois at Urbana-Champaign
2015,Paper Session,Production Cultures and Cultural Production,Communication History,Richard K. Popp,U of Wisconsin - Milwaukee
2015,Paper Session,Authenticity and Iconicity Across Visual Media Genres,Visual Communication Studies,Mary Angela Bock,U of Texas - Austin
2015,Paper Session,Advances in Framing Research: Content Analyses,Mass Communication,David Tewksbury,U of Illinois at Urbana–Champaign
2015,Paper Session,Gender Issues in Media Research,Mass Communication,Kristen Harrison,U of Michigan
2015,Paper Session,Digital Divide,Communication and Technology,Benjamin K. Johnson,VU U
2015,Paper Session,Antecedent and Consequent Negative Psychological Profiles in Social Media Use,Communication and Technology,Nancy Tobler,Utah Valley U
2015,Paper Session,Communities of Sound: Affect and Aesthetics in the Sonic Domain,Popular Communication,Jennifer Carlberg,University of Leeds
2015,Paper Session,"Citizens and the News: Participants, Sources, Journalists?",Journalism Studies,Helle Sjovaag,University of Bergen
2015,Paper Session,Social Media and Politics,Mass Communication,Hillary Cortney Shulman,Ohio State University
2015,Paper Session,Cultural Approaches to Health Communication,Health Communication,Lalatendu Acharya,Purdue U
2015,Paper Session,"Theorizing, Soliciting, and Commodifying Fan Participation",Popular Communication,Lynn Schofield Clark,U of Denver
2015,Paper Session,Technologies of Becoming in the Gendered Spaces of Consumerism,Feminist Scholarship,Natalia Rybas,Indiana University East
2015,Paper Session,Crisis Communication Effects and Strategies,Public Relations,Amiso M. George,TCU
2015,Paper Session,Constituting Organizations: Scholarship on CCO,Organizational Communication,Amanda J. Porter,VU U Amsterdam
2015,Paper Session,News Ethnographies in the 21st Century,Journalism Studies,Michael B. Karlsson,Karlstad University
2015,Paper Session,Talk About Not Getting Along: Dissent and Conflict in Organizations,Organizational Communication,May Hongmei Gao,Kennesaw State U
2015,Paper Session,"Disrupting Discourses of State, Security, and Surveillance","Philosophy, Theory and Critique",Lindsay Palmer,UW Madison
2015,Paper Session,Issues of Settings and Disparities in Youth Media Research,Children Adolescents and the Media,Jennifer A. Manganello,U at Albany - SUNY
2015,Paper Session,Advances in Entertainment Media Research,Mass Communication,Yariv Tsfati,U of Haifa
2015,Paper Session,Alcohol Use Among College Students,Health Communication,Saar Mollen,University of Amsterdam
2015,Paper Session,Advances in Framing Research: Experimentation,Mass Communication,Erik P. Bucy,Texas Tech U
2015,Paper Session,"Interpersonal Provider, Patient, and Partner Talk About Health",Health Communication,Laura A. Gibson,University of Pennsylvania
2015,Paper Session,Digital Skills Divide,Communication and Technology,Stephan Winter,U Duisburg-Essen
2015,Paper Session,Behavioral and Perceptual Outcomes of Social Media Use,Communication and Technology,Anne Oeldorf-Hirsch,University of Connecticut
2015,Paper Session,ICTs and Marginalized Populations,Global Communication and Social Change,Shiv Ganesh,Massey University
2015,Paper Session,"Life (and Death) Online: Identities, Communities, and Commodities",Popular Communication,Alexandra Sastre,Annenberg School for Communication
2015,Paper Session,Journalistic Autonomy and Perceived Influences,Journalism Studies,Lea C. Hellmueller,Texas Tech University
2015,Paper Session,Public Spheres Concepts in Social Media Contexts,Communication and Technology,Jung-Hyun Kim,Sogang U
2015,Paper Session,"Adolescents, Family, Aging: High Density Panel in Health Communication",Health Communication,Julia C.M. van Weert,ASCoR
2015,Paper Session,"Organizational Perspectives on Public Relations, Corporate Communication, and Branding",Organizational Communication,Michael Andreas Etter,Copenhagen Business School
2015,Paper Session,Narrations of Rape in Postcolonial India and Beyond: Rape Discourse in Global Contests of Power,Feminist Scholarship,Angharad N. Valdivia,U of Illinois
2015,Paper Session,"CSR, Communication, and Public Perceptions",Public Relations,Anne Ellerup Nielsen,BSS - Aarhus University
2015,Paper Session,Distance Makes the Heart Grow Fonder! OR Does It?: Investigating Long Distance Relationships,Interpersonal Communication,Anne Merrill,Pennsylvania State University
2015,Paper Session,Pressures of Journalistic Work: Critical Perspectives,Journalism Studies,Nikki Usher,George Washington University
2015,Paper Session,Instructional and Developmental Communication in Digital Environments,Instructional & Developmental Communication,Stephanie Kelly,North Carolina A and T State University
2015,Paper Session,Critical Discoveries About Violence and Conflict in Media,Children Adolescents and the Media,Karin Fikkers,ASCoR
2015,Paper Session,The Study of Persuasion in Mass Communication,Mass Communication,Kurt Howard Braddock,Pennsylvania State University
2015,Paper Session,"Governance, Discourse, and Public Interest Issues in Media",Communication Law & Policy,Dale A Herbeck,Northeastern U
2015,Paper Session,Latino/a and Latin American Representations and Discourses,Ethnicity and Race in Communication,Federico Subervi,Kent State U
2015,Paper Session,"Designing, Selling and Shaping Video Games (and Gamers)",Game Studies,Joshua Andrew Clark,U of Southern California - Annenberg School for Communication
2015,Paper Session,Proenvironmental Behaviour and Attitudes,Environmental Communication,Derek Moscato,University of Oregon
2015,Paper Session,Social Media Effects,Mass Communication,David C DeAndrea,Ohio State U
2015,Paper Session,Media and Morality,Mass Communication,Sumana Chattopadhyay,Marquette U
2015,Paper Session,Health Information Seeking,Health Communication,Jennifer A. Manganello,U at Albany - SUNY
2015,Paper Session,Social Capital and Social Media,Communication and Technology,Marjolijn L. Antheunis,Tilburg University
2015,Paper Session,User-Generated Content Effects,Communication and Technology,Andrew Schrock,U of Southern California - Annenberg School for Communication
2016,Paper Session,Preconference: 7th Annual Doctoral Consortium of the Communication Technology Division Breakout,Sponsored Sessions,,
2016,Paper Session,Preconference: Journalism Studies Graduate Student Colloquium Breakout,Sponsored Sessions,,
2016,Paper Session,Wanna Join? Teams and Clans in Games,Game Studies,Alex Leavitt,U of Southern California - Annenberg School for Communication
2016,Paper Session,"News as Text: Narrative, Myth, and Exemplars",Journalism Studies,Erik Albaek,U of Southern Denmark
2016,Paper Session,Innovations in Cancer Communication Research,Health Communication,Elisia L. Cohen,U of Kentucky
2016,Paper Session,"Hashtags, Tweets, and Instagram",Communication and Technology,Cornelius Puschmann,Alexander von Humboldt Institute for Internet and Society
2016,Paper Session,Science and Discourse Studies in Health Communication,Health Communication,Roma Subramanian,University of Missouri
2016,Paper Session,Perceived Credibility Online,Communication and Technology,Lei Vincent Huang,Hong Kong Baptist University
2016,Paper Session,"Digital Media, Elections, and Politics",Communication and Technology,Panayiota Tsatsou,U of Leicester - Department of Media and Communication
2016,Paper Session,"Contention, Terrorism, and Media",Global Communication and Social Change,William Lafi Youmans,The George Washington University
2016,Paper Session,Audience Connections to Characters,Mass Communication,Kekeli Kwabla Nuviadenu,Bethune-Cookman U
2016,Paper Session,Media Psychology and the Study of Gender-Related Issues,Mass Communication,Michael Prieler,Hallym University
2016,Paper Session,Selective News Exposure and Political Opinions,Political Communication,Adam Shehata,University of Gothenburg
2016,Paper Session,The Power of Dialogue in Public Relations,Public Relations,Marianne D. Sison,RMIT U
2016,Paper Session,Inside Journalism Organizations,Media Industry Studies,D. Charles Whitney,Northwestern U Qatar / QSO
2016,Paper Session,Support and Coping in Interpersonal Relationships,Interpersonal Communication,Jeff Youngquist,Oakland U
2016,Paper Session,"Constructions and Contestations of Gender in Gaming, Retail Ads, Sports Coverage, Prison Dramas, and Pornography",Feminist Scholarship,,
2016,Paper Session,"Political Discourse, Ideology, and the Media",Political Communication,Kimberly A. Gross,George Washington U
2016,Paper Session,"I Know You Because I Saw You on TV, but Where Am I? Youth, Stereotypes, and Prejudice",Children Adolescents and the Media,,
2016,Paper Session,Online and Health Information Seeking: High-Density Panel in Health Communication,Health Communication,Nadine A. Yehya,American U of Beirut
2016,Paper Session,"Last but Not Least: Why Do We Play? Technical Development, Sexualization, Motivation, and Clans",Game Studies,Kevin Koban,Chemnitz University of Technology
2016,Paper Session,"Journalists and Their Sources: Relationships, Practices, Perceptions",Journalism Studies,Wiebke Loosen,Hans Bredow Institute
2016,Paper Session,"Message Design Research: Meta-Analyses, Message/Information Fatigue, Narratives",Health Communication,Carmen Stitt,California State U - Sacramento
2016,Paper Session,Fighting the Continuum of Violence From Flaming and Street Harassment to Domestic Violence and Rape,Feminist Scholarship,,
2016,Paper Session,Social Protests and Technology,Communication and Technology,,
2016,Paper Session,Local Journalism: Community and Diversity,Journalism Studies,Helle Sjovaag,University of Bergen
2016,Paper Session,Globalization and Digital Media: Implications for Social Change,Global Communication and Social Change,Karin Gwinn Wilkins,U of Texas - Austin
2016,Paper Session,"Media, Conflict, and Violence",Mass Communication,Robert F. Potter,Indiana University
2016,Paper Session,Predicting and Explaining Opinion Diversity,Political Communication,Lilach Nir,Hebrew U
2016,Paper Session,Experiencing Entertainment,Popular Communication,Matthew P. McAllister,Pennsylvania State U
2016,Paper Session,Team Communication and Technologies,Organizational Communication,William C. Barley,University of Illinois
2016,Paper Session,Top Faculty Papers in Public Relations,Public Relations,Chiara Valentini,Aarhus U
2016,Paper Session,Dating And Romantic Relationships Through Apps,Mobile Communication,Colin Agur,University of Minnesota
2016,Paper Session,Communication Law and Policy Conference Theme Session: Communicating With Power in Communication Law and Policy,Communication Law & Policy,Seamus Simpson,U of Salford
2016,Paper Session,Visual Framing and Storytelling Between the Affective and the Iconic,Visual Communication Studies,Katy Jane Parry,University of Leeds
2016,Paper Session,Responding to Exclusion and Inequality,Theme Sessions,Cherian George,Hong Kong Baptist University
2016,Paper Session,"Different Types of Media Content, Different Effects?",Political Communication,Sebastian Valenzuela,Pontificia Universidad Catolica de Chile
2016,Paper Session,Adolescents and Media: Working Toward Adulthood,Children Adolescents and the Media,,
2016,Paper Session,CAT Hybrid Session 5: Global Perspectives on Technology,Communication and Technology,Katy Elizabeth Pearce,U of Washington
2016,Paper Session,Not So Easy: Problematic Aspects of Digital Games,Game Studies,Malte Elson,Ruhr University Bochum
2016,Paper Session,Health Risk Perception and Behaviors,Health Communication,BF F. Battistoli,Fairleigh Dickinson University
2016,Paper Session,Digital Exclusion and Inequality,Communication and Technology,Erin Flynn Klawitter,Northwestern University
2016,Paper Session,LGBTQ Health Communication,Health Communication,Jimmie Manning,Northern Illinois U
2016,Paper Session,Online Health Information and Behavioral Intentions,Communication and Technology,Jeff Niederdeppe,Cornell U
2016,Paper Session,Competitive Papers in Global Media and Culture,Global Communication and Social Change,Stephen Michael Croucher,U of Jyvaskyla
2016,Paper Session,The Study of Emotion in Relation to News,Mass Communication,Lance Holbert,Temple U
2016,Paper Session,News and the Active Audience,Mass Communication,Stephanie L. Craft,U of Illinois
2016,Paper Session,Public Opinion Research in the Digital Era,Political Communication,Claes H. De Vreese,U of Amsterdam
2016,Paper Session,Global Film: Culture and Conflict,Popular Communication,Richard K. Popp,U of Wisconsin - Milwaukee
2016,Paper Session,Communicating Organizations: Strategic and Constitutive Communication,Organizational Communication,Joshua B. Barbour,University of Texas at Austin
2016,Paper Session,Emotions and Beliefs: The Power of Internal Forces in the Classroom,Instructional & Developmental Communication,CJ Claus,California State University
2016,Paper Session,"Communicative Practices to Construct Reasonableness Standards, Responsibilization, Common Ground, and Relationship Bond",Language & Social Interaction,Gonen Dori-Hacohen,University of Massachusetts
2016,Paper Session,"Media, Marketing, and Children's Health",Children Adolescents and the Media,,
2016,Paper Session,B.E.S.T.: Social and Collaborative Technologies in Organizational Communication,Organizational Communication,Bart J. van den Hooff,VU University Amsterdam
2016,Paper Session,CAM Research Escalator Session 1,Children Adolescents and the Media,,
2016,Paper Session,Theorizing Journalism,Journalism Studies,Edson Tandoc,Nanyang Technological University
2016,Paper Session,Advertising and Privacy,Communication and Technology,Rebecca A. Hayes,Illinois State University
2016,Paper Session,"Sexual Health Communication: Consent, Pledges, Safe Sex, Contraceptives",Health Communication,Rowena Lyn Briones,Virginia Commonwealth U
2016,Paper Session,News and Social Media,Communication and Technology,Nathan Stolero,Tel Aviv University
2016,Paper Session,Journalism as Practice: Values and Perceptions,Journalism Studies,Matthew Powers,University of Washington
2016,Paper Session,Methodological Advances in Mass Communication Research,Mass Communication,Jens Vogelgesang,U Hohenheim
2016,Paper Session,"Politicized Communication: Movements, Ideology, and Modernity",Communication History,Nicole Maurantonio,U of Richmond
2016,Paper Session,Textual Analyses in Mass Communication Research,Mass Communication,Jane O'Boyle,University of South Carolina
2016,Paper Session,"Citizenship, Community, and Civic Engagement",Political Communication,Karolina Koc-Michalska,Audencia Business School
2016,Paper Session,Top Papers in Intercultural Communication,Intercultural Communication,Stephen Michael Croucher,U of Jyvaskyla
2016,Paper Session,Forms of Power: Public Diplomacy and Government Relations,Public Relations,Katerina Tsetsura,U of Oklahoma
2016,Paper Session,Industry Change and Accommodation,Media Industry Studies,Jacob Nelson,Northwestern University
2016,Paper Session,Governing Free Speech and Information in the 21st Century,Communication Law & Policy,Sharon Strover,U of Texas - Austin
2016,Paper Session,Race and Ethnicity Across Learning Environments,Ethnicity and Race in Communication,Anamik Saha,Goldsmiths
2016,Paper Session,Information and Perceptions of Out Groups: Between Empathy and Conflict,Political Communication,Jason C. Coronel,The Ohio State University
2016,Paper Session,Mediated Close Relationships: Interpersonal Communication Online,Interpersonal Communication,Kristina M. Scharp,Utah State University
2016,Paper Session,Best Papers in Information Systems Division,Information Systems,Kevin Wise,U of Illinois
2016,Paper Session,"CAT Hybrid Session 1: ICTs, Divides, and Privacy",Communication and Technology,Lee Humphreys,Cornell University
2016,Paper Session,CAM Research Escalator Session 2,Children Adolescents and the Media,,
2016,Paper Session,Top Papers in Health Communication,Health Communication,Kevin B. Wright,George Mason University
2016,Paper Session,"Social Media, Discussion, Deliberation, and Public Opinion",Communication and Technology,Homero Gil de Zuniga,University of Vienna
2016,Paper Session,Ethnicity & Race Across Eurasia,Ethnicity and Race in Communication,Sudeshna Roy,Stephen F Austin State University
2016,Paper Session,"Media Technology Industries: Online Journalism, On-Demand, and Streaming Services",Communication and Technology,Ramon Lobato,Swinburne University of Technology
2016,Paper Session,"Language Use in Small Claims Court, Public Meetings, Consultations for Over-the-Counter Medicines, and Health Information Consumers' Online Comments",Language & Social Interaction,Alena L. Vasilyeva,University of Massachusetts Amherst
2016,Paper Session,Social Media and Cultural Adaptation,Intercultural Communication,Kikuko Omori,St. Cloud State University
2016,Paper Session,Top Papers in Global Communication and Social Change,Global Communication and Social Change,Terry Flew,Queensland U of Technology
2016,Paper Session,Advancing Theory Building in Mass Communication Research,Mass Communication,Erik P. Bucy,Texas Tech University
2016,Paper Session,"Selective Visuals: Politics, Metaphors, Narratives",Visual Communication Studies,ANASTASIA VENETI,BOURNEMOUTH UNIVERSITY
2016,Paper Session,Instructional and Developmental Top Paper Panel,Instructional & Developmental Communication,Annie Beck,University of Kentucky
2016,Paper Session,Strategies and Tactics in Popular Politics,Popular Communication,Torgeir Uberg Naerland,Department of information science and media studies / University of Bergen
2016,Paper Session,Communicating With Power: Stakeholders and Corporations,Public Relations,Kim A. Johnston,Queensland U of Technology
2016,Paper Session,Top Papers in Organizational Communication,Organizational Communication,Bart J. van den Hooff,VU University Amsterdam
2016,Paper Session,"Extended Session: LGBTQ Europe, US, and Networks","Lesbian, Gay, Bisexual, Transgender and Queer Studies",,
2016,Paper Session,For the Greater Good: New Approaches in Serious Games,Game Studies,Ruud Jacobs,Erasmus University Rotterdam
2016,Paper Session,"Parenting, Family Communication, and Child Outcomes",Interpersonal Communication,Haley Horstman,University of Missouri
2016,Paper Session,"Journalistic Roles: Perception, Performance, Identity",Journalism Studies,David H. Weaver,Indiana U
2016,Paper Session,Using Big Data to Examine Science Communication and Research Communties,Communication and Technology,Katy Elizabeth Pearce,U of Washington
2016,Paper Session,Communication Infrastructure and the Social Shaping of Technology,Communication and Technology,Elizabeth Newbury,Cornell U
2016,Paper Session,Smartphones (High-Density),Mobile Communication,Thilo von Pape,University of Hohenheim
2016,Paper Session,Top Student Papers in Public Relations,Public Relations,Katerina Tsetsura,U of Oklahoma
2016,Paper Session,"Ideas, Power, and Accountability in Media Policy",Communication Law & Policy,Katharine Sarikakis,University of Vienna
2016,Paper Session,CAT Hybrid Session 2: Virtual Experiences and Interaction,Communication and Technology,Elizabeth Newbury,Cornell U
2016,Paper Session,Online Comments and the News,Journalism Studies,Daniel Kreiss,University of North Carolina at Chapel Hill
2016,Paper Session,Health Communication Advertising and Advertisements,Health Communication,arulchelvan sriram,Anna U
2016,Paper Session,Selfies and Self-Presentation Online,Communication and Technology,Nicole Ellison,School of Information
2016,Paper Session,"College Health Promotion: Drinking, Substance Abuse, Sexual Assault",Health Communication,YoungJu Shin,Indiana University Purdue University Indianapolis
2016,Paper Session,Self-Disclosure and Privacy in Social Media,Communication and Technology,Carmina Teresa Rodriguez Hidalgo,University of Amsterdam
2016,Paper Session,Covering Science and Health,Journalism Studies,Avery E. Holton,University of Utah
2016,Paper Session,Cultural Influence on Advertising and Corporate Communication,Intercultural Communication,Cindy Ngai,Hong Kong Polytechnic University
2016,Paper Session,What Generates News Content? (TOP STUDENT PAPER),Mass Communication,H. Denis Wu,Boston University
2016,Paper Session,Protecting Water and Air: Examining Communication and Decision-Making Practices,Environmental Communication,Xinghua Li,Babson College
2016,Paper Session,Communication in Online Relationships: Is the Medium the Relationship?,Interpersonal Communication,Jennifer S Priem,Wake Forest U
2016,Paper Session,Understanding Online Political Participation,Political Communication,Kjerstin Thorson,University of Southern California
2016,Paper Session,"Contexts, Processes, and Outcomes of Outgroup Attitudes and Intergroup Contact",Intergroup Communication,Ling Chen,Hong Kong Baptist U
2016,Paper Session,The Visual Communication of Identities and Values Across Cultures,Visual Communication Studies,,
2016,Paper Session,Media & Democracy: Press Freedom and Censorship,Political Communication,Peter Van Aelst,U of Antwerp
2016,Paper Session,Antismoking/Antidrinking: High Density Panel in Health Communication,Health Communication,Elisabeth Bigsby,University of Illinois
2016,Paper Session,Work-Life Balance and Flexible Work,Organizational Communication,May Hongmei Gao,Kennesaw State University
2016,Paper Session,"Robots, Machines, and Algorithms: Perspectives on Automated Journalism",Journalism Studies,Mike Joseph Ananny,U of Southern California
2016,Paper Session,"Culture and Social Interaction: Language, Identity, Community, and Intercultural Communication",Language & Social Interaction,Zohar Kampf,Hebrew University
2016,Paper Session,Communication and Technology Division Top Student Papers,Communication and Technology,Lee Humphreys,Cornell University
2016,Paper Session,The Power of Technology for Learning,Instructional & Developmental Communication,,
2016,Paper Session,"Social Media, Political Mobilization, and Participation",Communication and Technology,Sonja Utz,Leibniz-Institut fuer Wissensmedien
2016,Paper Session,Mass Communication Research at the Systems Level (TOP STUDENT PAPER),Mass Communication,Leo W. Jeffres,Cleveland State U
2016,Paper Session,Media Industry Studies Business Meeting,Media Industry Studies,Patricia Frances Phalen,George Washington U
2016,Paper Session,"News Exposure and Effects: Knowledge, Interest, and Behavior",Political Communication,Erik Albaek,U of Southern Denmark
2016,Paper Session,"Music, Sound, and Popular Culture",Popular Communication,Lillian Boxman-Shabtai,Northwestern University
2016,Paper Session,"Perception, Cognition, and Experience in Visual Communication Research",Visual Communication Studies,Frank Biocca,Syracuse U
2016,Paper Session,Online Social Capital,Communication and Technology,Emese Domahidi,Leibniz-Institut fuer Wissensmedien
2016,Paper Session,Top Papers in Sports Communication,Sports Communication,Tang Tang,The University of Akron
2016,Paper Session,Political News in Comparative Perspective,Political Communication,Rasmus Kleis Nielsen,University of Oxford
2016,Paper Session,Extended Session: Parental Mediation,Children Adolescents and the Media,,
2016,Paper Session,On the Technical Side of Digital Games,Game Studies,Daniel Pietschmann,Chemnitz University of Technology
2016,Paper Session,B.E.S.T.: Social Responsibility and Ethics in Communication Practice and Research,Organizational Communication,Craig R. Scott,Rutgers U
2016,Paper Session,The Power of CSR in Times of Crisis,Public Relations,Piet Verhoeven,U of Amsterdam
2016,Paper Session,Disrupting Journalism: Challenging Key Concepts in Journalism Studies,Journalism Studies,Henrik Bodker,Aarhus University
2016,Paper Session,Social Network Studies in Health Communication,Health Communication,Weirui Wang,Florida International University
2016,Paper Session,Emotion and Information Processing,Communication and Technology,Nathan Stolero,Tel Aviv University
